id,name,password,balance,bonus,creditLimit,usedAmount,expiryDate
082214226,testUser,226,2769003,666,30000,30000,20210606
# transactionRecord 1 line represent 1 record and the format is showing below
transactionID,transactionType,transactionAmount,gainedBonus,transactionDate
1,XDPay,60000,60,2021/01/26 16:49:33
2,CreditCardsPay,-3000,300,2021/01/26 16:57:36
3,XDPay,-9000,180,2021/02/02 09:04:54
4,XDPay,6000,600,2021/02/04 10:07:59
5,XDPay,-3000,60,2021/02/04 10:08:06
6,XDPay,600000,60000,2021/02/04 10:08:13
7,XDPay,-300000,6000,2021/02/04 10:08:22
8,XDPay,-60000,1200,2021/02/04 10:08:34
9,XDPay,6000000,600000,2021/02/04 10:08:42
10,XDPay,-3600000,72000,2021/02/04 10:09:09
11,CreditCardsPay,-30000,3000,2021/02/04 10:09:16
12,XDPay,60000,6000,2021/02/04 10:09:27
13,XDPay,3,0,2021/02/04 10:10:15
14,XDPay,6000,600,2021/02/04 10:10:29
